ID,Cutting speed vc [m/min],Spindle speed n [1/min],Feed f [mm/rev],Feed rate vf [mm/min],Power Pc [kW],Cooling [%],Material,Drill Bit Type,Process Time [sec],Main Failure,BEF,CCF,FWF,WDF
1,29.92,794,0.218,173,194.87,75,N,W,19.26,0,0,0,0,0
2,29.85,792,0.241,191,214.71,75,N,W,19.55,0,0,0,0,0
3,22.85,606,0.183,111,95.68,50,P,N,36.16,0,0,0,0,0
4,29.6,785,0.236,237,206.93,75,N,W,21.22,1,0,0,1,0
5,17.43,462,0.246,114,74.85,50,K,H,33.56,0,0,0,0,0
6,22.51,597,0.168,100,85.02,25,P,N,34.5,0,0,0,0,0
7,22.68,602,0.192,116,98.84,50,P,N,36.32,0,0,0,0,0
8,16.9,448,0.203,91,57.95,0,K,H,33.01,0,0,0,0,0
9,29.98,795,0.238,189,213.79,75,N,W,18.89,0,0,0,0,0
10,30.41,807,0.264,213,244.11,100,N,W,21.18,0,0,0,0,0
11,22.51,597,0.164,98,82.97,25,P,N,36.12,0,0,0,0,0
12,30.43,807,0.28,226,259.02,100,N,W,20.66,0,0,0,0,0
13,29.89,793,0.233,185,208.5,75,N,W,20.67,0,0,0,0,0
14,17.62,467,0.251,117,77.93,50,K,H,33.76,0,0,0,0,0
15,29.86,792,0.229,182,204.5,75,N,W,19.94,0,0,0,0,0
16,22.56,599,0.206,123,104.8,50,P,N,35.14,0,0,0,0,0
17,17.02,451,0.214,97,62.05,25,K,H,32.43,0,0,0,0,0
18,30.48,809,0.27,218,250.53,100,N,W,19.66,0,0,0,0,0
19,30.18,800,0.241,193,219.88,75,N,W,19.36,0,0,0,0,0
20,29.77,790,0.232,184,206.01,75,N,W,20.08,0,0,0,0,0
21,17.27,458,0.262,120,78.01,50,K,H,33.37,0,0,0,0,0
22,22.76,604,0.184,111,95.39,50,P,N,35.46,0,0,0,0,0
23,29.79,790,0.227,180,201.84,75,N,W,19.38,0,0,0,0,0
24,30.2,801,0.261,209,238.5,100,N,W,20.18,0,0,0,0,0
25,30.23,802,0.244,195,222.8,75,N,W,19.72,0,0,0,0,0
26,29.88,793,0.249,198,222.51,75,N,W,20.05,0,0,0,0,0
27,29.54,784,0.223,175,194.92,75,N,W,20.38,0,0,0,0,0
28,17.09,453,0.244,111,71.36,50,K,H,33.53,0,0,0,0,0
29,17.3,459,0.266,122,79.69,50,K,H,33.34,0,0,0,0,0
30,22.54,598,0.184,110,93.55,50,P,N,32.87,0,0,0,0,0
31,29.65,787,0.22,173,193.28,75,N,W,20.98,0,0,0,0,0
32,22.7,602,0.158,95,81.21,25,P,N,35.44,0,0,0,0,0
33,22.61,600,0.172,103,88.06,50,P,N,34.62,0,0,0,0,0
34,22.47,596,0.175,104,88.21,50,P,N,34.89,0,0,0,0,0
35,23.16,614,0.198,121,105.95,50,P,N,36.21,0,0,0,0,0
36,29.89,793,0.231,183,206.65,75,N,W,19.87,0,0,0,0,0
37,29.85,792,0.239,189,213.09,75,N,W,19.31,0,0,0,0,0
38,22.83,606,0.194,117,100.98,50,P,N,35.68,0,0,0,0,0
39,29.69,788,0.218,172,192.3,75,N,W,20.89,0,0,0,0,0
40,22.84,606,0.192,116,100.21,50,P,N,35.14,0,0,0,0,0
41,17.5,464,0.268,125,82.25,50,K,H,32.87,0,0,0,0,0
42,17.61,467,0.247,115,76.53,50,K,H,35.29,0,0,0,0,0
43,30.24,802,0.251,202,229.95,75,N,W,17.51,0,0,0,0,0
44,30.17,800,0.246,197,223.87,75,N,W,19.78,0,0,0,0,0
45,22.7,602,0.171,103,88.18,50,P,N,33.65,0,0,0,0,0
46,17.86,474,0.261,124,83.44,50,K,H,31.21,0,0,0,0,0
47,16.96,450,0.216,97,62.05,25,K,H,31.58,0,0,0,0,0
48,17.39,461,0.261,120,78.81,50,K,H,34.73,0,0,0,0,0
49,29.99,795,0.246,196,221.15,75,N,W,18.32,0,0,0,0,0
50,29.7,788,0.223,175,196.41,75,N,W,20.08,0,0,0,0,0
51,22.75,603,0.213,129,110.38,75,P,N,34.79,0,0,0,0,0
52,29.82,791,0.216,171,191.87,75,N,W,19.06,0,0,0,0,0
53,17.06,452,0.238,108,69.38,25,K,H,34.29,0,0,0,0,0
54,22.92,608,0.212,129,111.36,75,P,N,35.54,0,0,0,0,0
55,22.93,608,0.202,123,106.19,50,P,N,35.28,0,0,0,0,0
56,17.77,471,0.28,132,88.52,75,K,H,33.62,0,0,0,0,0
57,30.11,799,0.26,208,235.98,100,N,W,21.35,0,0,0,0,0
58,17.12,454,0.227,103,66.64,25,K,H,34.1,0,0,0,0,0
59,17.41,462,0.248,114,75.03,50,K,H,32.51,0,0,0,0,0
60,22.39,594,0.181,107,90.6,50,P,N,34.37,0,0,0,0,0
61,29.87,792,0.244,194,217.93,75,N,W,19.83,0,0,0,0,0
62,22.08,586,0.16,94,78.06,25,P,N,35.47,0,0,0,0,0
63,17.23,457,0.217,99,64.55,25,K,H,32.45,0,0,0,0,0
64,29.8,791,0.23,182,204.09,75,N,W,20.05,0,0,0,0,0
65,30.3,804,0.265,213,243.07,100,N,W,19.56,0,0,0,0,0
66,29.83,791,0.236,187,210.22,75,N,W,19.45,0,0,0,0,0
67,17.32,460,0.247,113,74.12,50,K,H,34.08,0,0,0,0,0
68,22.85,606,0.202,122,105.21,50,P,N,36.79,0,0,0,0,0
69,22.13,587,0.168,99,82.39,25,P,N,35.93,0,0,0,0,0
70,22.9,607,0.195,119,102.5,50,P,N,35.5,0,0,0,0,0
71,29.72,788,0.226,178,199.4,75,N,W,19.83,0,0,0,0,0
72,22.66,601,0.167,100,85.8,25,P,N,35.57,0,0,0,0,0
73,29.87,792,0.236,187,210.7,75,N,W,18.49,0,0,0,0,0
74,22.78,604,0.201,121,104.29,50,P,N,36.33,0,0,0,0,0
75,30.36,805,0.283,228,260.4,100,N,W,19.52,0,0,0,0,0
76,17.14,455,0.226,103,66.34,25,K,H,32.84,0,0,0,0,0
77,23,610,0.186,113,98.38,50,P,N,35.72,0,0,0,0,0
78,22.35,593,0.178,106,89.01,50,P,N,32.83,0,0,0,0,0
79,16.92,449,0.234,105,66.97,25,K,H,32.17,0,0,0,0,0
80,17.72,470,0.258,121,80.88,50,K,H,32.75,0,0,0,0,0
81,17.65,468,0.246,115,76.78,50,K,H,31.66,0,0,0,0,0
82,29.79,790,0.232,183,205.7,75,N,W,21.59,0,0,0,0,0
83,17.31,459,0.251,115,75.16,50,K,H,33.07,0,0,0,0,0
84,17.45,463,0.264,122,80.43,50,K,H,33.8,0,0,0,0,0
85,29.64,786,0.218,171,191.4,75,N,W,19.22,0,0,0,0,0
86,23.02,611,0.209,127,110.63,75,P,N,34.78,0,0,0,0,0
87,30.07,798,0.247,197,223.4,75,N,W,20.39,0,0,0,0,0
88,30.42,807,0.29,234,268.74,100,N,W,18.69,0,0,0,0,0
89,17.03,452,0.234,106,67.87,25,K,H,35.03,0,0,0,0,0
90,17.78,472,0.278,131,87.78,75,K,H,33.56,0,0,0,0,0
91,21.8,578,0.127,94,60.25,0,P,N,35.22,1,1,0,0,0
92,22.46,596,0.17,101,85.55,25,P,N,35.2,0,0,0,0,0
93,17.78,472,0.296,139,93.48,75,K,H,34.51,0,0,0,0,0
94,30.13,799,0.261,209,237.21,100,N,W,18.79,0,0,0,0,0
95,30.36,805,0.258,208,237.8,100,N,W,18.26,0,0,0,0,0
96,22.39,594,0.17,101,85.29,25,P,N,33.68,0,0,0,0,0
97,17.56,466,0.248,115,76.44,50,K,H,31.92,0,0,0,0,0
98,17.64,468,0.263,123,81.71,50,K,H,34.07,0,0,0,0,0
99,22.42,595,0.181,108,91.2,50,P,N,33.51,0,0,0,0,0
100,17.43,462,0.25,116,76.04,50,K,H,33.04,0,0,0,0,0
101,22.5,597,0.171,102,86.45,25,P,N,33.94,0,0,0,0,0
102,30.29,803,0.24,193,220.31,75,N,W,19.49,0,0,0,0,0
103,22.46,596,0.151,117,75.9,25,P,W,34.32,1,0,1,0,1
104,17.69,469,0.253,119,79.04,50,K,H,32.31,0,0,0,0,0
105,22.35,593,0.155,92,77.58,25,P,N,34.26,0,0,0,0,0
106,17.71,470,0.269,126,84.34,50,K,H,32.84,0,0,0,0,0
107,22.53,598,0.17,101,86.04,25,P,N,32.9,0,0,0,0,0
108,17.65,468,0.25,117,78.05,50,K,H,33.13,0,0,0,0,0
109,29.79,790,0.239,189,211.74,75,N,W,18.78,0,0,0,0,0
110,29.5,783,0.216,216,188,75,N,W,20.73,1,0,0,1,0
111,17.26,458,0.263,121,78.43,50,K,H,34.58,0,0,0,0,0
112,22.94,609,0.199,121,104.77,50,P,N,34.05,0,0,0,0,0
113,22.7,602,0.183,110,94.23,50,P,N,35.87,0,0,0,0,0
114,30.94,821,0.293,241,280.82,100,N,W,20.69,0,0,0,0,0
115,22,583,0.14,82,67.68,0,P,N,33.88,1,1,0,0,0
116,29.85,792,0.218,172,194.11,75,N,W,20.08,0,0,0,0,0
117,17.48,464,0.272,126,83.17,50,K,H,32.15,0,0,0,0,0
118,29.84,791,0.22,174,195.9,75,N,W,21.42,0,0,0,0,0
119,22.38,594,0.171,102,85.82,25,P,N,34.96,0,0,0,0,0
120,17.36,461,0.228,105,68.79,25,K,H,32.96,0,0,0,0,0
121,22.77,604,0.196,118,101.51,50,P,N,34.92,0,0,0,0,0
122,29.45,781,0.215,168,186.16,75,N,W,21.57,0,0,0,0,0
123,22.83,605,0.199,120,103.6,50,P,N,33.88,0,0,0,0,0
124,29.86,792,0.246,195,219.42,75,N,W,18.46,0,0,0,0,0
125,29.6,785,0.199,156,174.56,75,N,W,19.41,0,0,0,0,0
126,30.29,804,0.261,210,239.55,100,N,W,20.37,0,0,0,0,0
127,22.8,605,0.181,110,94.39,50,P,N,34.01,0,0,0,0,0
128,17.88,474,0.272,129,87.11,50,K,H,32.35,0,0,0,0,0
129,22.8,605,0.179,108,92.85,50,P,N,34.53,0,0,0,0,0
130,29.69,788,0.216,218,190.74,75,N,W,19.59,1,0,0,1,0
